Biodiversity & Conservation	1
Bioinformatics	2
Biological Science Education	3
Biology	4
Athletic Training	5
Exercise & Wellness	6
Exercise Science	7
General Studies: Exercise and Wellness	8
Medical Laboratory Science 	9
Microbiology	10
Molecular Biology	11
Dietetics	12
Food Science	13
Nutritional Science	14
Biophysics	15
Physiology & Developmental Biology	16
Environmental Science	17
Genetics, Genomics, & Biotechnology	18
Landscape Management	19
Wildlife & Wildlands Conservation	20
Public Health	21
